feature	ref_CI	permuted_CI	algo	model
1	ahd	0.5	0.5	Lasso	clin
2	ahd	0.5	0.5	Lasso	clin
3	ahd	0.5	0.5	Lasso	clin
4	ahd	0.5	0.5	Lasso	clin
5	perf_status	0.5	0.5	Lasso	clin
6	perf_status	0.5	0.5	Lasso	clin
7	perf_status	0.5	0.5	Lasso	clin
8	perf_status	0.5	0.5	Lasso	clin
9	bm_blasts	0.5	0.5	Lasso	clin
10	bm_blasts	0.5	0.5	Lasso	clin
11	bm_blasts	0.5	0.5	Lasso	clin
12	bm_blasts	0.5	0.5	Lasso	clin
13	secondary	0.5	0.5	Lasso	clin
14	secondary	0.5	0.5	Lasso	clin
15	secondary	0.5	0.5	Lasso	clin
16	secondary	0.5	0.5	Lasso	clin
17	wbc	0.5	0.5	Lasso	clin
18	wbc	0.5	0.5	Lasso	clin
19	wbc	0.5	0.5	Lasso	clin
20	wbc	0.5	0.5	Lasso	clin
21	hb	0.5	0.5	Lasso	clin
22	hb	0.5	0.5	Lasso	clin
23	hb	0.5	0.5	Lasso	clin
24	hb	0.5	0.5	Lasso	clin
25	plt	0.5	0.5	Lasso	clin
26	plt	0.5	0.5	Lasso	clin
27	plt	0.5	0.5	Lasso	clin
28	plt	0.5	0.5	Lasso	clin
29	ahd	0.5	0.5	Lasso	clin
30	ahd	0.5	0.5	Lasso	clin
31	ahd	0.5	0.5	Lasso	clin
32	ahd	0.5	0.5	Lasso	clin
33	perf_status	0.5	0.5	Lasso	clin
34	perf_status	0.5	0.5	Lasso	clin
35	perf_status	0.5	0.5	Lasso	clin
36	perf_status	0.5	0.5	Lasso	clin
37	bm_blasts	0.5	0.5	Lasso	clin
38	bm_blasts	0.5	0.5	Lasso	clin
39	bm_blasts	0.5	0.5	Lasso	clin
40	bm_blasts	0.5	0.5	Lasso	clin
41	secondary	0.5	0.5	Lasso	clin
42	secondary	0.5	0.5	Lasso	clin
43	secondary	0.5	0.5	Lasso	clin
44	secondary	0.5	0.5	Lasso	clin
45	wbc	0.5	0.5	Lasso	clin
46	wbc	0.5	0.5	Lasso	clin
47	wbc	0.5	0.5	Lasso	clin
48	wbc	0.5	0.5	Lasso	clin
49	hb	0.5	0.5	Lasso	clin
50	hb	0.5	0.5	Lasso	clin
51	hb	0.5	0.5	Lasso	clin
52	hb	0.5	0.5	Lasso	clin
53	plt	0.5	0.5	Lasso	clin
54	plt	0.5	0.5	Lasso	clin
